id,titulo,trecho,classe_dono,classe_gold,decisao
369529,Semana Nacional do Registro Civil: RJ terá ações para pessoas em vulnerabilidade social,"O Tribunal de Justiça do Estado do Rio de Janeiro (TJRJ), por meio da Corregedoria Geral da Justiça, participará da terceira edição da “Semana Nacional do Registro Civil – Registre-se!”. Promovida pelo Conselho Nacional de Justiça e organizada pela Corregedoria Nacional de Justiça, a ação no Estado do Rio de Janeiro terá como público alvo as pessoas em situação de rua e a população carcerária. A S",Justiça Itinerante / cidadania,Corregedoria / Inspeção,
410760,"Imparcialidade no Judiciário exige reconhecer desigualdades e diferentes vivências, diz especialista","A imparcialidade judicial não se confunde com neutralidade. Para se chegar à equidade na Justiça, é preciso mais conhecimento sobre as desigualdades estruturais, maior participação de pessoas com diferentes vivências e origens, assim como o reconhecimento das hierarquias de poder que atravessam a sociedade. Essas reflexões foram debatidas, nesta quinta-feira (16/4), na quinta sessão do Programa In",Equidade racial,Institucional / Gestão,
410668,CNJ abre inscrições para 2ª edição do Programa de Ações Afirmativas para Ingresso na Magistratura,"O Conselho Nacional de Justiça (CNJ), em parceria com a Fundação Getúlio Vargas (FGV), inaugura a 2ª edição do Programa CNJ de Ações Afirmativas para Ingresso na Magistratura. Criado em 2024, o programa busca ampliar a diversidade étnico-racial na magistratura brasileira e promover condições mais equitativas de acesso aos concursos públicos da carreira, incluindo o Exame Nacional da Magistratura (",Equidade racial,Institucional / Gestão,
368011,CNJ atua na defesa de direitos transversais dos povos indígenas,"Comemorando o Dia dos Povos Indígenas, neste sábado (19/4), o Conselho Nacional de Justiça (CNJ) celebra o trabalho que vem sendo feito em várias frentes para atender a demandas de interesse dessas comunidades. Além do acompanhamento e do monitoramento dessas ações, o CNJ tem atuado em parceria com tribunais e outros órgãos públicos e instituições para articular soluções e construir diagnósticos r",Direitos humanos / Corte IDH,Equidade racial,
395503,Justiça Eleitoral promove encontro sobre violência contra mulheres e baixa presença feminina nos espaços de poder,"O Tribunal Superior Eleitoral (TSE) promove, no dia 24 de novembro, véspera do Dia Internacional pela Eliminação da Violência contra as Mulheres, o encontro “Democracia: substantivo feminino”. A iniciativa busca abrir espaço e tempo para ouvir mulheres em diálogos sobre dificuldades e possibilidades, avanços e obstáculos ainda existentes para a igualdade de gênero no país, especialmente na partici",Participação feminina,Violência doméstica / mulheres,
412968,Pesquisa sobre trabalho de cuidado segue aberta para profissionais do Judiciário,"As trabalhadoras e trabalhadores do Poder Judiciário podem participar da pesquisa nacional sobre responsabilidades de cuidado, promovida pelo Conselho Nacional de Justiça (CNJ). O questionário é anônimo e leva cerca de 15 minutos para ser preenchido. O prazo encerra em 18/05. A iniciativa busca compreender os impactos que a responsabilidade por cuidar de crianças, pessoas idosas, pessoas com defic",Participação feminina,Institucional / Gestão,
385879,"Ilha do Combu, no Pará, ganha regras de preservação com apoio do Judiciário","A preservação da Ilha do Combu, em Belém do Pará, a manutenção do conhecimento tradicional dos moradores locais e seu aproveitamento em diversas atividades, como o turismo, ganhou mais um aliado: o Poder Judiciário. Representando o Conselho Nacional de Justiça (CNJ), a conselheira Daniela Madeira, participou da articulação da assinatura do documento que implanta o Plano Gestor da Área de Proteção ",Sustentabilidade / Pauta verde,Regularização fundiária,
372975,CNJ afasta desembargador federal envolvido em caso de violência doméstica,"O Plenário do Conselho Nacional de Justiça (CNJ) aprovou, nesta terça-feira (27/5), a proposta do corregedor nacional de justiça, ministro Mauro Campbell Marques, de afastar cautelarmente o desembargador federal Alcides Martins Ribeiro Filho, do Tribunal Regional Federal da 2.ª Região (TRF-2). A decisão foi motivada pelo envolvimento do magistrado em um caso de violência doméstica, resistência à p",Processos disciplinares,Violência doméstica / mulheres,
368006,Regularização Fundiária em Porto Velho (RO): Corregedoria acompanha entrega de 1.004 títulos,"O corregedor-geral da Justiça de Rondônia, desembargador Gilberto Barbosa, acompanhado do juiz auxiliar extrajudicial, Marcelo Tramontini, participou, no sábado (12/4), da solenidade de entrega de 1.004 títulos de propriedade em Porto Velho. O evento foi realizado no Teatro Estadual Palácio das Artes e contou com a presença do prefeito da capital, Léo Moraes, além de representantes do Poder Execut",Regularização fundiária,Corregedoria / Inspeção,
366916,Corregedor nacional destaca atuação do CNJ à comitiva de Moçambique,"As atividades desenvolvidas pelo Conselho Nacional de Justiça (CNJ) foram o ponto central abordado pelo corregedor nacional de Justiça, ministro Mauro Campbell, ao receber Comitiva de Moçambique, interessada em conhecer o funcionamento de instituições brasileiras. O encontro ocorreu nesta quinta-feira (3/4) e durante a conversa, o corregedor destacou a atuação do Conselho no controle e na transpar",Institucional / Gestão,Corregedoria / Inspeção,
408824,Comunidade de Alcântara recebe título de domínio do Território Quilombola,"Na terça-feira (24/3), o Governo Federal entregou o título de domínio do Território Quilombola de Alcântara (45,9 mil hectares). A iniciativa é resultado do Acordo de Alcântara — Termo de Conciliação, Compromisso e Reconhecimentos Recíprocos —, assinado em evento realizado no município em setembro de 2024, no qual autoridades da Justiça Estadual e Federal e Advocacia Geral da União (AGU) reforçara",Conflitos fundiários,Regularização fundiária,
399284,Tribunal do Paraná firma cooperação com prefeitura para auxiliar superendividados,"O Tribunal de Justiça do Estado do Paraná (TJPR) firmou um termo de cooperação técnica com a Prefeitura de Maringá, por meio do Procon-PR, para o atendimento ao consumidor superendividado. O principal objetivo é proporcionar educação financeira, além da realização de audiências de conciliação, presididas por magistradas e magistrados competentes ou por conciliadores capacitados e credenciados junt",Conciliação e mediação,Socioeducativo,
362990,Centro de atendimento no RJ vence prêmio ao integrar serviços a pessoas em situação de rua,"Um espaço permanente junto à Central do Brasil, na capital do Rio de Janeiro, oferece uma abordagem integrada no atendimento a pessoas em situação de rua. O local reúne serviços prestados por órgãos federais, estaduais e municipais, incluindo registro civil, inscrição em programas sociais e na rede de moradia, entre outros. Alinhado à Política Nacional de Atenção a Pessoas em Situação de Rua , ins",PopRuaJud,Justiça Itinerante / cidadania,
403311,"CNJ reforça compromisso em saúde, equidade e proteção social com posse de novos conselheiros","O presidente do Conselho Nacional de Justiça (CNJ) e do Supremo Tribunal Federal (STF), Ministro Luiz Edson Fachin, reafirmou compromissos com as políticas públicas do órgão durante a cerimônia de posse da Desembargadora Estadual Jaceguara Dantas da Silva, no cargo de conselheira, e do Juiz Estadual Fabio Francisco Esteves, no cargo de conselheiro, e de recondução da Conselheira Daiane Nogueira de",Institucional / Gestão,Saúde / judicialização,
401821,TJSC lança Glossário de Cálculos e Custas Judiciais com foco em linguagem simples,"O Tribunal de Justiça de Santa Catarina (TJSC) disponibilizou o Glossário de Cálculos e Custas Judiciais — 2025, um material de consulta voltado a magistrados e servidores, com o objetivo de padronizar conceitos técnicos, qualificar o embasamento das decisões judiciais e tornar mais clara a comunicação relacionada aos cálculos e às custas processuais. Elaborado pela Divisão de Contadoria Judicial ",Linguagem simples,Institucional / Gestão,
392691,Mediação garante indenização para vítimas e familiares de atentado em escola capixaba,"Um projeto de mediação conseguiu levantar recursos e pagar indenizações de maneira célere e sem a necessidade de judicialização a pais, mães, cônjuges e irmãos de professoras mortas, vítimas do tiroteio ocorrido em 2022 em uma escola pública de Aracruz, norte do Espírito Santo. A ação venceu a 15ª edição do Prêmio Conciliar é Legal , promovido pelo Conselho Nacional de Justiça (CNJ), na categoria ",Conciliação e mediação,Institucional / Gestão,
408762,Últimos dias para contribuir com consulta pública do CNJ sobre violência por agentes da segurança pública,"Termina no próximo dia 30 o prazo para participação na consulta pública do Conselho Nacional de Justiça (CNJ) que busca reunir contribuições sobre os desafios enfrentados por vítimas diretas e indiretas de violência praticada por agentes de segurança pública no acesso à Justiça. As manifestações irão subsidiar a elaboração de um protocolo de atendimento humanizado no âmbito do Poder Judiciário, vo",Direitos humanos / Corte IDH,Institucional / Gestão,
404960,Novo prazo para envio de contribuições à consulta pública sobre o Judiciário termina em 27/2,"Encerra, na próxima semana, o prazo para envio de sugestões para o enfrentamento de desafios do Poder Judiciário nas áreas de Previdência, Execuções Fiscais e Direito do Consumidor. Especialistas, instituições, magistrados e magistradas e servidores e servidoras que atuem nessas áreas, além de organizações da sociedade civil com atuação jurídica ou acadêmica, poderão enviar as contribuições ao Con",Institucional / Gestão,Execuções fiscais,
409539,Rede nacional do Judiciário vai fortalecer combate ao crime organizado,"O Conselho Nacional de Justiça (CNJ) instituiu, nesta terça-feira (7/4), a Rede Nacional de Magistrados com Competência em Criminalidade Organizada. A medida marca uma nova fase da atuação institucional do Judiciário brasileiro no enfrentamento a esse tipo de crime, de forma mais coordenada, especializada e estratégica. A rede possui caráter colaborativo, consultivo e de apoio técnico-operacional,",Institucional / Gestão,Sistema prisional,
407471,Portal Jus.br chega à marca de um milhão de usuários,"Mais de um milhão de pessoas já utiliza o Portal Jus.br como porta de entrada para acessar os serviços do Poder Judiciário, com uma média de mais de 14 mil usuários por dia. Por meio da plataforma, magistradas, magistrados, servidoras e servidores do Judiciário, advogadas, advogados e a população em geral podem acessar os principais serviços oferecidos pelos tribunais do país no mesmo ambiente dig",IA / Justiça 4.0,Inovação,
375953,Justiça e MP vão compartilhar uso de pontos de inclusão digital em Minas Gerais,"O Tribunal de Justiça de Minas Gerais (TJMG) e o Ministério Público de Minas Gerais (MPMG) assinaram, nesta sexta-feira (13/6), Acordo de Cooperação Técnica (ACT) que prevê o uso compartilhado de espaços físicos dos fóruns e utilização dos Centros Judiciários de Solução de Conflitos e Cidadania (Cejuscs) Digitais. A iniciativa busca ampliar o acesso à Justiça, fortalecendo os Pontos de Inclusão Di",Justiça Itinerante / cidadania,IA / Justiça 4.0,
369334,"I Encontro Nacional da Rede de Inteligência do Poder Judiciário acontecerá em Brasília, nos dias 23 e 24/6","O Conselho Nacional de Justiça (CNJ), o Centro de Estudos Judiciários do Conselho da Justiça Federal (CEJ/CJF) e o Tribunal de Justiça do Distrito Federal e dos Territórios (TJDFT) realizarão, nos dias 23 e 24 de junho de 2025, o I Encontro Nacional da Rede de Inteligência do Poder Judiciário, em Brasília (DF). As inscrições estarão abertas até o dia 9 de junho. Voltado a magistrados e magistradas",Inovação,IA / Justiça 4.0,
398157,Portal Jus.br completa um ano com mais de 700 mil usuários,"Na primeira semana de dezembro, o portal Jus.br completou um ano desde seu lançamento para magistradas, magistrados, servidoras e servidores do Judiciário, advogadas, advogados e a população em geral. Em seus primeiros 12 meses no ar, a plataforma registrou cerca de 706 mil usuários, com uma média superior a 10,4 mil acessos diários. Desenvolvido no âmbito do Programa Justiça 4.0 , o Jus.br reúne,",IA / Justiça 4.0,Inovação,
401458,TRE-RN institui protocolo de tratamento de denúncias e plano de resposta a fraudes e corrupção,"O Tribunal Regional Eleitoral do Rio Grande do Norte (TRE-RN) publicou a Portaria n. 1/2026/Pres, que dispõe sobre o Protocolo de Tratamento de Denúncia e o Plano de Resposta a Fraudes e Corrupção, no âmbito da Justiça Eleitoral potiguar. A norma estabelece diretrizes e procedimentos para o recebimento, análise, encaminhamento e tratamento de denúncias. O normativo assegura ainda critérios de conf",Institucional / Gestão,Justiça Eleitoral,
379665,CNJ concederá selo a entidades que contribuem para a diversidade e a inclusão no Judiciário,As entidades doadoras e os órgãos públicos que apoiam oficialmente o Programa CNJ de Ação Afirmativa para Ingresso na Magistratura passarão a receber o Selo de Reconhecimento Público por Contribuição à Diversidade e Inclusão no Poder Judiciário Brasileiro. A condecoração é um incentivo à participação no programa que visa aumentar a representatividade no Judiciário de forma a refletir a diversidade,Equidade racial,Institucional / Gestão,
375387,Fundo de modernização auxiliará a prestação de serviços de TI ao Judiciário,"A necessidade de modernizar e incluir tecnologia da informação aos serviços prestados pelo Conselho Nacional de Justiça (CNJ) às instituições e ao cidadão passará a contar com recursos de um fundo específico. A proposta de criação do Fundo de Modernização do Conselho Nacional de Justiça foi aprovada por unanimidade pelo colegiado do órgão na manhã desta terça-feira (10/6), durante a 3.ª Sessão Ext",Institucional / Gestão,IA / Justiça 4.0,
384098,Acordo de cooperação pode extinguir até 650 mil processos de conselhos profissionais,"Entre os 20 maiores litigantes do país no polo ativo, seis são conselhos profissionais. Em busca de diminuir esse acervo, o presidente do Conselho Nacional de Justiça (CNJ), ministro Luís Roberto Barroso, firmou acordo de cooperação técnica com cinco dos seis tribunais regionais federais e os conselhos federais dos Representantes Comerciais e de Contabilidade, na tarde desta terça-feira (26/8). As",Litigância / ações coletivas,Institucional / Gestão,
409591,Reservatório de dados processuais será utilizado no combate ao crime organizado,"O Ministério Público poderá acessar os dados processuais contidos em “reservatório eletrônico” do Conselho Nacional de Justiça (CNJ) para desenvolver ações de combate ao crime organizado. A concessão do acesso ao Data Lake do Poder Judiciário, que centraliza informações de processos judiciais públicos, foi formalizada nesta terça-feira (7/4) pelo presidente do CNJ, Ministro Edson Fachin, e pelo pr",IA / Justiça 4.0,Sistema prisional,
408304,CNJ debate desafios do Judiciário no combate ao crime organizado,"Magistradas, magistrados e representantes dos tribunais que atuam na área de segurança pública participaram, nesta segunda (23/3), do primeiro dia do encontro Desafios do Poder Judiciário ante o Crime Organizado”, realizado pelo Conselho Nacional de Justiça (CNJ). Após a abertura pelo presidente do CNJ e do Supremo Tribunal Federal (STF), Ministro Edson Fachin, às 10h (veja matéria), tiveram iníci",Institucional / Gestão,Sistema prisional,
373886,Painel reúne dados sobre ações da Fazenda Nacional,"Mais de 2,5 milhões de processos pendentes na Justiça atualmente são de ações propostas pela Fazenda Nacional. O dado consta do Painel de Monitoramento das Ações Judiciais da Fazenda Nacional , lançado pelo Conselho Nacional de Justiça (CNJ). A ferramenta traz dados detalhados, que poderão contribuir com o desenvolvimento de estratégias de tratamento dos processos. A partir das informações contida",Transparência,Execuções fiscais,
378732,Sistema da Justiça Federal permite planejamento estratégico e eficiência na formação judicial,"A Justiça Federal deu mais um importante passo rumo à modernização e à integração institucional. Na terça-feira (8/7), foi lançado oficialmente o Sistema Nacional de Escolas da Justiça Federal (Sinemaf), plataforma que reúne, em um único ambiente digital, os cursos e os eventos promovidos pelo Centro de Estudos Judiciários do Conselho da Justiça Federal (CEJ/CJF) e pelas seis Escolas da Magistratu",Institucional / Gestão,Inovação,
410263,Decisão do CNJ mantém direitos de servidores do TJPA sobre licença médica,"O Conselho Nacional de Justiça (CNJ) decidiu, por unanimidade, acolher os pedidos e anular as Portarias 3455/2025 e 02/2025 do Tribunal de Justiça do Pará (TJPA), que suspendiam a Gratificação de Atividade Externa (GAE) e o rateio das diligências para servidores em licença para tratamento de saúde ou por doença em pessoa da família por mais de 60 dias. Ao aprovar integralmente o voto do conselheir",Institucional / Gestão,Processos disciplinares,
403599,Programa do CNJ na TV Justiça estreia novo formato nesta quinta-feira (5/2),"A partir desta quinta-feira (5/2), o programa do Conselho Nacional de Justiça (CNJ) na TV Justiça passa a contar com um novo formato. Agora, as políticas judiciárias implementadas em todo o país ganham ainda mais visibilidade dentro do Repórter Justiça, programa exibido semanalmente na emissora às quintas-feiras, às 20h, com reprises às segundas-feiras, também às 20h, e aos domingos, às 11h30. No ",Institucional / Gestão,Inovação,
356125,Resoluções aprovadas em 2024 aprofundam atuação da Justiça em tecnologia e direitos humanos,"Ao longo de 2024, o Conselho Nacional de Justiça (CNJ) aprovou 62 resoluções que abrangem a criação de novas políticas judiciárias, o estabelecimento de diretrizes para programas e projetos já existentes e eventuais adequações a fim de atender a legislação vigente. Esses normativos zelaram, sobretudo, pela evolução do Poder Judiciário em relação à responsabilidade social e às necessidades das pess",Institucional / Gestão,Direitos humanos / Corte IDH,
374399,"Em bate-papo com Barroso, influenciadores digitais visitam CNJ e conhecem atribuições da instituição","Nesta quinta-feira (5/6), um grupo de dez criadores de conteúdo digital de todo o Brasil visitou a sede do Conselho Nacional de Justiça (CNJ), em Brasília, para conhecer o órgão e aprender mais sobre a atuação da instituição e do Poder Judiciário. A atividade faz parte do projeto Diálogos com o Poder, criado a partir de parceria entre a organização Redes Cordiais e o YouTube para aproximar os Três",Institucional / Gestão,Inovação,
360996,Justiça do DF realiza mais de 65 mil atendimentos nos Pontos de Inclusão Digital,"O Tribunal de Justiça do Distrito Federal e dos Territórios (TJDFT) realizou, em 2024, 65.315 atendimentos nos Pontos de Inclusão Digital (PID). Eles oferecem os serviços digitais assistidos (SDA) e as salas passivas de videoconferência. Em um ano, foram realizados 48.483 atendimentos no Serviço Digital Assistido e 18.832 atendimentos nas Salas Passivas. Os suportes estão presentes em 19 fóruns e ",Justiça Itinerante / cidadania,Inovação,
357464,Justiça Federal da 1.ª Região cria modelo para facilitar o entendimento de documentos judiciais,"Para ampliar o acesso à Justiça e favorecer a compreensão de documentos judiciais, o Tribunal Regional Federal da 1.ª Região (TRF-1) concluiu e aprovou a versão final do “Mandado de Intimação para Regularização da Representação Processual”, o primeiro modelo desenvolvido do projeto “Mandado Simples”. Para a supervisora da Seção de Suporte à Gestão Judiciária (Sesuj) e gerente do projeto, Adriana S",Linguagem simples,Institucional / Gestão,
362586,Jovem com síndrome de Down realiza sonho de se tornar policial por um dia no Tribunal do Trabalho da 14ª Região,"Daniel Nunes da Silva, jovem com síndrome de Down, realizou o sonho de ser policial por um dia. Funcionário terceirizado do Tribunal Regional do Trabalho da 14ª Região (RO/AC), onde trabalha como servente de limpeza, Daniel participou de uma ação inclusiva promovida pela Polícia Judicial do TRT-14, com autorização do Conselho Nacional de Justiça (CNJ). A iniciativa ocorreu durante uma festa surpre",Inclusão PCDs,Institucional / Gestão,
357212,Tribunais de Roraima e do Amazonas reforçam parceria para atender a comunidades indígenas,"O desembargador Erick Linhares, atual ouvidor-geral de justiça e eleito corregedor-geral de justiça de Roraima para o biênio 2025/2027, reuniu-se com o corregedor-geral de justiça do Amazonas eleito para o biênio 2025/2027, desembargador José Hamilton Saraiva dos Santos, para alinhar ações conjuntas voltadas às comunidades indígenas na fronteira entre os dois estados. Desde 2017, os tribunais de j",Direitos humanos / Corte IDH,Justiça Itinerante / cidadania,
401818,TRE-PI amplia acesso à cidadania com calendário de atendimentos descentralizados,"Com foco no fechamento do cadastro eleitoral, a Justiça Eleitoral itinerante do Tribunal Regional Eleitoral do Piauí (TRE-PI) percorre municípios e bairros para facilitar a regularização de eleitores antes do prazo de 6 de maio. O esforço pretende garantir que todo cidadão piauiense exerça o seu direito ao voto. O atendimento descentralizado busca levar os serviços essenciais da Justiça Eleitoral ",Justiça Eleitoral,Justiça Itinerante / cidadania,
378727,Tribunal do Distrito Federal implanta novo painel de sessão virtual,"O Tribunal de Justiça do Distrito Federal e dos Territórios (TJDFT) implantou o Plenário Virtual para que advogados, advogadas, jurisdicionados e jurisdicionadas possam acompanhar, em tempo real, as sessões de julgamento virtuais. O painel foi implantado no dia 30 de junho e segue as diretrizes Resolução n. 591/2024, do Conselho Nacional de Justiça (CNJ) . A grande inovação da solução é a publiciz",Transparência,Inovação,
384706,Corte do RS reforça compromisso com liberdade religiosa em encontro com povos de terreiro,"A Ouvidoria da Mulher, das Pessoas LGBTQIAPN+ e das Pessoas em Situação de Vulnerabilidade do Tribunal de Justiça do Rio Grande do Sul (TJRS) recebeu a visita de representantes de povos de terreiro, em um encontro marcado pelo diálogo, pela escuta e pela valorização da diversidade cultural e religiosa. A atividade foi realizada em parceria com a Ouvidoria-Geral da Defensoria Pública do RS e com o ",Direitos humanos / Corte IDH,LGBTQIA+,
381824,Ação inédita usa técnica da Justiça Restaurativa em presídio feminino de Ponta Porã (MS),"O Tribunal de Justiça de Mato Grosso do Sul, por meio da Secretaria do Núcleo Permanente de Métodos Consensuais de Solução de Conflitos (Nupemec) e da Justiça Restaurativa, colocou em prática o projeto de Justiça Restaurativa em unidades prisionais de MS. Esta é a primeira iniciativa realizada no estado e foi idealizada pela juíza Thielly Dias de Alencar Pitthan, titular da 1.ª Vara Criminal de Po",Conciliação e mediação,Sistema prisional,
401860,Programa Justiça 4.0 capacita mais de 4 mil pessoas em 2025,"O Programa Justiça 4.0 capacitou 4.339 pessoas em 41 cursos autoinstrucionais e seis síncronos, ofertados a servidoras e servidores do Judiciário, magistradas e magistrados e sociedade em geral, durante todo o ano passado. Foi a primeira vez que as capacitações atraíram mais o público externo, responsável por metade das pessoas certificadas em 2025. O juiz auxiliar da Presidência do Conselho Nacio",IA / Justiça 4.0,Institucional / Gestão,
405837,"Trabalhadores, entidades e acadêmicos contribuirão para política judiciária pelo trabalho decente","A elaboração da Política Judiciária Nacional de Promoção do Trabalho Decente será construída a muitas mãos. O trabalho teve início nessa segunda-feira (2/3), durante a reunião de instalação do Observatório do Trabalho Decente do Poder Judiciário (OTD) . No plenário do Conselho Nacional de Justiça (CNJ), o presidente do órgão, ministro Edson Fachin, ao lado do presidente do Tribunal Superior do Tra",Direitos humanos / Corte IDH,Institucional / Gestão,
