entidade_key,tipo,docs,ocorrencias,exemplo
regional federal da 1a regiao,LOC,5,5,Regional Federal da 1ª Região
rio,LOC,5,5,Rio
rio branco,LOC,5,6,Rio Branco
campinas,LOC,5,5,Campinas
goias,LOC,5,5,Goiás
adriana melonio,PER,5,6,Adriana Melônio
policia federal,ORG,4,4,Polícia Federal
romulo serpa,PER,4,4,Rômulo Serpa
campo grande,LOC,4,5,Campo Grande
fabio bittencourt,PER,4,5,Fábio Bittencourt
gilmar mendes,PER,4,4,Gilmar Mendes
receita federal,ORG,4,4,Receita Federal
fachin,PER,4,5,Fachin
distrito federal e dos territorios,LOC,4,4,Distrito Federal e dos Territórios
aderson nogueira,PER,4,4,Aderson Nogueira
tribunal superior eleitoral,ORG,4,4,Tribunal Superior Eleitoral
tribunal regional federal da 1a regiao,LOC,4,4,Tribunal Regional Federal da 1ª Região
comite nacional de inteligencia artificial do judiciario,ORG,4,4,Comitê Nacional de Inteligência Artificial do Judiciário
departamento de pesquisas judiciarias,ORG,4,4,Departamento de Pesquisas Judiciárias
lizandro garcia gomes filho,PER,4,4,Lizandro Garcia Gomes Filho
lidia maejima,PER,4,4,Lidia Maejima
rodrigo mudrovitsch,PER,4,5,Rodrigo Mudrovitsch
magid nauef lauar,PER,4,6,Magid Nauef Láuar
silvio amorim junior,PER,4,4,Silvio Amorim Junior
oriximina,LOC,4,7,Oriximiná
luiz inacio lula da silva,PER,4,4,Luiz Inácio Lula da Silva
hugo zaher,PER,4,4,Hugo Zaher
palacio do planalto,LOC,4,4,Palácio do Planalto
organizacao das nacoes unidas,ORG,4,4,Organização das Nações Unidas
instituto brasileiro de geografia e estatistica,ORG,4,4,Instituto Brasileiro de Geografia e Estatística
herman benjamin,PER,4,5,Herman Benjamin
cnj,ORG,4,4,CNJ
eduardo uhlein,PER,3,3,Eduardo Uhlein
advocacia - geral da uniao,ORG,3,3,Advocacia - Geral da União
wellington cesar lima e silva,PER,3,3,Wellington César Lima e Silva
universidade federal do parana,ORG,3,3,Universidade Federal do Paraná
tribunal regional eleitoral,ORG,3,3,Tribunal Regional Eleitoral
recife,LOC,3,3,Recife
forum civel da comarca de goiania,LOC,3,3,Fórum Cível da Comarca de Goiânia
ricardo couto de castro,PER,3,3,Ricardo Couto de Castro
reporter justica,MEDIA,3,3,Repórter Justiça
theatro municipal,LOC,3,3,Theatro Municipal
rodrigo goncalves de souza,PER,3,3,Rodrigo Gonçalves de Souza
rondonopolis,LOC,3,5,Rondonópolis
ruy muggiati,PER,3,3,Ruy Muggiati
ana lucia aguiar,PER,3,3,Ana Lúcia Aguiar
claudia catafesta,PER,3,4,Claudia Catafesta
petrobras,ORG,3,3,Petrobras
paulo gonet,PER,3,3,Paulo Gonet
campbell marques,PER,3,4,Campbell Marques
fundacao,ORG,3,3,Fundação
forum nacional de precatorios,ORG,3,3,Fórum Nacional de Precatórios
francisco eduardo loureiro,PER,3,3,Francisco Eduardo Loureiro
jose rotondano,PER,3,3,José Rotondano
secao judiciaria,LOC,3,3,Seção Judiciária
johonsom di salvo,PER,3,4,Johonsom di Salvo
operador nacional do sistema eletronico dos registros publicos,ORG,3,3,Operador Nacional do Sistema Eletrônico dos Registros Públicos
oswaldo trigueiro do valle filho,PER,3,3,Oswaldo Trigueiro do Valle Filho
heraclito vieira de sousa neto,PER,3,3,Heráclito Vieira de Sousa Neto
presidio evaristo de moraes,LOC,3,3,Presídio Evaristo de Moraes
paula navarro,PER,3,3,Paula Navarro
sao cristovao,LOC,3,4,São Cristóvão
sao jose da costa rica,LOC,3,3,São José da Costa Rica
onu,ORG,3,3,ONU
oab,ORG,3,3,OAB
jose edivaldo rocha rotondano,PER,3,3,José Edivaldo Rocha Rotondano
jose gomes de araujo filho,PER,3,3,José Gomes de Araújo Filho
judiciario de mato grosso,LOC,3,4,Judiciário de Mato Grosso
biblioteca nacional,LOC,3,3,Biblioteca Nacional
salvador,LOC,3,4,Salvador
katia magalhaes arruda,PER,3,4,Kátia Magalhães Arruda
samuel rodrigues,PER,3,3,Samuel Rodrigues
associacao brasileira dos advogados criminalistas,ORG,3,3,Associação Brasileira dos Advogados Criminalistas
conselho da justica federal,ORG,3,3,Conselho da Justiça Federal
debora diniz,PER,3,3,Débora Diniz
tribunal de justica do espirito santo,LOC,3,3,Tribunal de Justiça do Espírito Santo
tribunal de justica do rio de janeiro,LOC,3,3,Tribunal de Justiça do Rio de Janeiro
chico batata,PER,3,3,Chico Batata
vale do javari,LOC,3,7,Vale do Javari
tv justica,ORG,2,2,TV Justiça
tribunal de justica do rio grande do sul,LOC,2,2,Tribunal de Justiça do Rio Grande do Sul
cururupu,LOC,2,2,Cururupu
clara da mota santos pimenta alves,PER,2,2,Clara da Mota Santos Pimenta Alves
conselho administrativo de defesa economica,ORG,2,2,Conselho Administrativo de Defesa Econômica
comite nacional popruajud,ORG,2,2,Comitê Nacional PopRuaJud
suzana massako hirama loreto de oliveira,PER,2,2,Suzana Massako Hirama Loreto de Oliveira
centro judiciario de solucao de conflitos da zona norte,LOC,2,2,Centro Judiciário de Solução de Conflitos da Zona Norte
centro judiciario de solucao de conflitos e cidadania da zona norte de macapa,LOC,2,2,Centro Judiciário de Solução de Conflitos e Cidadania da Zona Norte de Macapá
centro pop,LOC,2,2,Centro Pop
defensoria publica,ORG,2,2,Defensoria Pública
daldice santana,PER,2,3,Daldice Santana
corte interamericana,ORG,2,2,Corte Interamericana
corumba,LOC,2,2,Corumbá
bacuri,LOC,2,2,Bacuri
marques,PER,2,3,Marques
marcus da costa ferreira,PER,2,2,Marcus da Costa Ferreira
marconi pimenta,PER,2,3,Marconi Pimenta
luiz carlos correa junior,PER,2,2,Luiz Carlos Corrêa Junior
luiz philippe vieira de mello,PER,2,2,Luiz Philippe Vieira de Mello
luiz silveira,PER,2,2,Luiz Silveira
banco nacional de desenvolvimento economico e social,ORG,2,2,Banco Nacional de Desenvolvimento Econômico e Social
barcelos,LOC,2,5,Barcelos
luciana ortiz,PER,2,2,Luciana Ortiz
luciana ramos,PER,2,2,Luciana Ramos
luis carneiro,PER,2,2,Luís Carneiro
livia cristina marques peres,PER,2,2,Lívia Cristina Marques Peres
sao gabriel da cachoeira,LOC,2,2,São Gabriel da Cachoeira
san jose,LOC,2,2,San José
noemia aparecida garcia porto,PER,2,2,Noemia Aparecida Garcia Porto
municipal,LOC,2,2,Municipal
nacoes unidas,ORG,2,2,Nações Unidas
nancy hernandez lopez,PER,2,2,Nancy Hernández López
natal,LOC,2,3,Natal
monte alegre,LOC,2,3,Monte Alegre
milene de carvalho henrique,PER,2,2,Milene de Carvalho Henrique
mineirao,LOC,2,2,Mineirão
ministerio da saude,LOC,2,2,Ministério da Saúde
ministerio publico,ORG,2,2,Ministério Público
ministro fachin,PER,2,2,Ministro Fachin
livia peres,PER,2,2,Lívia Peres
lucas nogueira israel,PER,2,2,Lucas Nogueira Israel
lilas,LOC,2,5,Lilás
largo das artes,LOC,2,2,Largo das Artes
bico do papagaio,LOC,2,2,Bico do Papagaio
justica eleitoral,ORG,2,3,Justiça Eleitoral
justica federal,LOC,2,2,Justiça Federal
justica de mato grosso,LOC,2,2,Justiça de Mato Grosso
justica de minas gerais,LOC,2,2,Justiça de Minas Gerais
justica de pernambuco,LOC,2,2,Justiça de Pernambuco
justica do acre,LOC,2,2,Justiça do Acre
justica do rio de janeiro,LOC,2,2,Justiça do Rio de Janeiro
justica do rio grande do norte,LOC,2,2,Justiça do Rio Grande do Norte
judiciarios de solucao de conflitos e cidadania,LOC,2,2,Judiciários de Solução de Conflitos e Cidadania
alexandre miguel,PER,2,2,Alexandre Miguel
sonia guajajara,PER,2,2,Sônia Guajajara
sulamir palmeira monassa de almeida,PER,2,2,Sulamir Palmeira Monassa de Almeida
sistema interamericano,ORG,2,2,Sistema Interamericano
sistema prisional,LOC,2,2,Sistema Prisional
solange reimberg,PER,2,2,Solange Reimberg
organizacao mundial da saude,ORG,2,2,Organização Mundial da Saúde
organizacao para a cooperacao e desenvolvimento economico,ORG,2,2,Organização para a Cooperação e Desenvolvimento Econômico
oeste,LOC,2,2,Oeste
oiapoque,LOC,2,2,Oiapoque
secretaria nacional de politicas penais,ORG,2,2,Secretaria Nacional de Políticas Penais
alto alegre,LOC,2,2,Alto Alegre
amanda bessoni,PER,2,2,Amanda Bessoni
santa helena,LOC,2,2,Santa Helena
sao bento,LOC,2,2,São Bento
sindrome de down,DIS,2,2,Síndrome de Down
senado federal,LOC,2,2,Senado Federal
secao judiciaria do amapa,LOC,2,3,Seção Judiciária do Amapá
secao judiciaria do tocantins,LOC,2,2,Seção Judiciária do Tocantins
justica da paraiba,LOC,2,2,Justiça da Paraíba
brumadinho,LOC,2,3,Brumadinho
jose luiz leite lindote,PER,2,2,José Luiz Leite Lindote
jose maria teixeira do rosario,PER,2,3,José Maria Teixeira do Rosário
juan pablo correa gossweiler,PER,2,2,Juan Pablo Correa Gossweiler
jomar fernandes,PER,2,2,Jomar Fernandes
jayme ferreira,PER,2,2,Jayme Ferreira
pavilhao do parque da cidade,LOC,2,2,Pavilhão do Parque da Cidade
palmas,LOC,2,4,Palmas
pacto nacional brasil contra o feminicidio,ORG,2,2,Pacto Nacional Brasil contra o Feminicídio
pacto nacional do judiciario pela linguagem simples,ORG,2,2,Pacto Nacional do Judiciário pela Linguagem Simples
arena mrv,LOC,2,2,Arena MRV
arnoldo camanho de assis,PER,2,2,Arnoldo Camanho de Assis
asa norte,LOC,2,2,Asa Norte
operador nacional do registro civil de pessoas naturais,ORG,2,2,Operador Nacional do Registro Civil de Pessoas Naturais
jeremias de cassio carneiro de melo,PER,2,2,Jeremias de Cássio Carneiro de Melo
joao batista pinto silveira,PER,2,2,João Batista Pinto Silveira
joao felipe menezes lopes,PER,2,2,João Felipe Menezes Lopes
iracy mangueira,PER,2,3,Iracy Mangueira
isa monia,PER,2,2,Isa Mônia
instituto nacional de colonizacao e reforma agraria,ORG,2,2,Instituto Nacional de Colonização e Reforma Agrária
instituto,ORG,2,2,Instituto
instituto a. dot,ORG,2,2,Instituto A. DOT
guatemala,LOC,2,2,Guatemala
precisamos falar de cuidados,MEDIA,2,2,Precisamos Falar de Cuidados
porto da saude,LOC,2,2,Porto da Saúde
praca da se,LOC,2,2,Praça da Sé
policia civil,ORG,2,2,Polícia Civil
ponta pora,LOC,2,3,Ponta Porã
aparecida gadelha,PER,2,2,Aparecida Gadelha
aquidauana,LOC,2,4,Aquidauana
paulo marcos de farias,PER,2,2,Paulo Marcos de Farias
paulo regis machado botelho,PER,2,2,Paulo Regis Machado Botelho
campina grande,LOC,2,2,Campina Grande
caputo bastos,PER,2,2,Caputo Bastos
goiania,LOC,2,2,Goiânia
guaramirim,LOC,2,3,Guaramirim
gilberto schafer,PER,2,2,Gilberto Schäfer
glaucio brittes,PER,2,2,Gláucio Brittes
genebra,LOC,2,2,Genebra
geral da justica,LOC,2,2,Geral da Justiça
gabriela guerreiro,PER,2,2,Gabriela Guerreiro
gabriela lenz de lacerda,PER,2,2,Gabriela Lenz de Lacerda
carlos cavalcanti de albuquerque filho,PER,2,2,Carlos Cavalcanti de Albuquerque Filho
carmen lucia,PER,2,2,Cármen Lúcia
francisco bandeira de mello,PER,2,2,Francisco Bandeira de Mello
fred coutinho,PER,2,2,Fred Coutinho
forum nacional do poder judiciario,ORG,2,2,Fórum Nacional do Poder Judiciário
forum nacional do poder judiciario para a saude,ORG,2,2,Fórum Nacional do Poder Judiciário para a Saúde
forum geral de porto velho,LOC,2,2,Fórum Geral de Porto Velho
fluvial,LOC,2,3,Fluvial
forum central,LOC,2,2,Fórum Central
ricardo duailibe,PER,2,2,Ricardo Duailibe
richard pae kim,PER,2,2,Richard Pae Kim
rio bonito do iguacu,LOC,2,3,Rio Bonito do Iguaçu
renata gil,PER,2,2,Renata Gil
regiao norte,LOC,2,3,Região Norte
regional do trabalho da 3a regiao,LOC,2,2,Regional do Trabalho da 3ª Região
regional federal da 4a regiao,LOC,2,2,Regional Federal da 4ª Região
angola,LOC,2,5,Angola
cavalcante,LOC,2,2,Cavalcante
flavia martins de carvalho,PER,2,2,Flávia Martins de Carvalho
fernanda portella,PER,2,3,Fernanda Portella
estado do rio grande do sul,LOC,2,2,Estado do Rio Grande do Sul
estefania reami fernandes,PER,2,3,Estefânia Reami Fernandes
eua,LOC,2,2,EUA
esplanada dos ministerios,LOC,2,2,Esplanada dos Ministérios
escola municipal de ensino fundamental professor estevao gomes,LOC,2,2,Escola Municipal de Ensino Fundamental Professor Estevão Gomes
centro de lancamento,LOC,2,2,Centro de Lançamento
escola do poder judiciario,LOC,2,2,Escola do Poder Judiciário
escola judicial,LOC,2,2,Escola Judicial
comissao permanente de sustentabilidade e responsabilidade social,ORG,2,2,Comissão Permanente de Sustentabilidade e Responsabilidade Social
claudio brandao de oliveira,PER,2,2,Cláudio Brandão de Oliveira
ana araujo,PER,2,2,Ana Araújo
ana ines algorta latorre,PER,2,2,Ana Inés Algorta Latorre
anama,LOC,2,3,Anamã
salise sanchotene,PER,2,2,Salise Sanchotene
roselaine gomes,PER,2,3,Roselaine Gomes
andrea albuquerque,PER,2,2,Andréa Albuquerque
eloy terena,PER,2,3,Eloy Terena
escola cidada integral tecnica,LOC,2,2,Escola Cidadã Integral Técnica
elayne cantuaria,PER,2,2,Elayne Cantuária
ednaldo lima,PER,2,4,Ednaldo Lima
dirceu dos santos,PER,2,3,Dirceu dos Santos
alcantara,LOC,2,3,Alcântara
torcedor,LOC,2,2,Torcedor
transtorno do espectro autista,DIS,2,2,Transtorno do Espectro Autista
tribunal de contas da uniao,ORG,2,2,Tribunal de Contas da União
tribunal de justica de pernambuco,ORG,2,2,Tribunal de Justiça de Pernambuco
territorio quilombola de alcantara,LOC,2,4,Território Quilombola de Alcântara
theatro municipal do rio de janeiro,LOC,2,2,Theatro Municipal do Rio de Janeiro
curitiba,LOC,2,2,Curitiba
academia nacional de policia judicial,ORG,2,2,Academia Nacional de Polícia Judicial
viviane rebello,PER,2,3,Viviane Rebello
university of new south wales,ORG,2,2,University of New South Wales
zenildo trajano,PER,2,2,Zenildo Trajano
vieira de mello filho,PER,2,2,Vieira de Mello Filho
volta aos trilhos,MEDIA,1,1,Volta aos Trilhos
viviane martins,PER,1,1,Viviane Martins
viviane brito rebello,PER,1,1,Viviane Brito Rebello
vitoria viana,PER,1,1,Vitoria Viana
vitoria do jari,LOC,1,1,Vitória do Jari
vitoria,LOC,1,1,Vitória
vitor marcelo rodrigues,PER,1,1,Vitor Marcelo Rodrigues
vitor guglinski,PER,1,1,Vitor Guglinski
vila sol nascente,LOC,1,3,Vila Sol Nascente
vila social,LOC,1,1,Vila Social
advocacia,ORG,1,1,Advocacia
advocacia geral da uniao,ORG,1,1,Advocacia Geral da União
advocacia publica da uniao,ORG,1,1,Advocacia Pública da União
afogados da ingazeira,LOC,1,2,Afogados da Ingazeira
africa,LOC,1,1,África
ageilson rodrigues da silva,PER,1,1,Ageilson Rodrigues da Silva
agencia estadual de transporte e mobilidade urbana,ORG,1,1,Agência Estadual de Transporte e Mobilidade Urbana
agencia nacional de aviacao civil,ORG,1,1,Agência Nacional de Aviação Civil
agencia nacional de transportes terrestres,ORG,1,1,Agência Nacional de Transportes Terrestres
agencia nacional de vigilancia sanitaria,ORG,1,1,Agência Nacional de Vigilância Sanitária
agibank,ORG,1,1,Agibank
universidade de sao paulo,ORG,1,1,Universidade de São Paulo
universidade federal de minas gerais,ORG,1,1,Universidade Federal de Minas Gerais
usp,LOC,1,1,USP
valdir florindo,PER,1,1,Valdir Florindo
vale de sao domingos,LOC,1,2,Vale de São Domingos
comite estadual de politicas penais,ORG,1,1,Comitê Estadual de Políticas Penais
comite executivo do forum nacional do judiciario para a saude,ORG,1,1,Comitê Executivo do Fórum Nacional do Judiciário para a Saúde
clarisse de caro,PER,1,1,Clarisse de Caro
claudia cristina martins tria,PER,1,1,Claudia Cristina Martins Tria
claudia motta,PER,1,1,Cláudia Motta
claudio de mello tavares,PER,1,1,Claudio de Mello Tavares
claudio mello,PER,1,1,Claudio Mello
cleidaise garcia,PER,1,1,Cleidaíse Garcia
clube de regatas do flamengo,ORG,1,1,Clube de Regatas do Flamengo
colegio clarice lispector,LOC,1,2,Colégio Clarice Lispector
colegio estadual centrao,LOC,1,1,Colégio Estadual Centrão
colonia agricola marco aurelio vergas tavares de mattos,LOC,1,1,Colônia Agrícola Marco Aurélio Vergas Tavares de Mattos
comarca integrada de bayeux e santa rita,LOC,1,1,Comarca Integrada de Bayeux e Santa Rita
comissao de mulheres,ORG,1,1,Comissão de Mulheres
comissao especial de defesa do consumidor,ORG,1,1,Comissão Especial de Defesa do Consumidor
"2026 por toda parte, por todas elas",MEDIA,1,1,"2026 “ Por Toda Parte, Por Todas Elas ”"
companhia terceira em movimento,ORG,1,1,Companhia “ Terceira em Movimento ”
compesa,ORG,1,1,Compesa
complexo dos juizados especiais,LOC,1,1,Complexo dos Juizados Especiais
comissao estadual judiciaria de adocao,ORG,1,1,Comissão Estadual Judiciária de Adoção
comissao interamericana de direitos humanos,ORG,1,1,Comissão Interamericana de Direitos Humanos
comissao nacional de direito notarial e registral do conselho federal da oab,ORG,1,1,Comissão Nacional de Direito Notarial e Registral do Conselho Federal da OAB
comissao nacional de incorporacao de tecnologias no sistema unico de saude,ORG,1,1,Comissão Nacional de Incorporação de Tecnologias no Sistema Único de Saúde
comissao nacional de incorporacao de tecnologias no sus,ORG,1,1,Comissão Nacional de Incorporação de Tecnologias no SUS
comissao nacional de solucoes fundiarias,ORG,1,1,Comissão Nacional de Soluções Fundiárias
comissao nacional de solucoes fundiarias do conselho nacional de justica,ORG,1,1,Comissão Nacional de Soluções Fundiárias do Conselho Nacional de Justiça
comissao permanente de comunicacao do poder judiciario,ORG,1,1,Comissão Permanente de Comunicação do Poder Judiciário
comissao permanente de tecnologia da informacao e inovacao,ORG,1,1,Comissão Permanente de Tecnologia da Informação e Inovação
comissao regional de solucoes fundiarias,ORG,1,1,Comissão Regional de Soluções Fundiárias —
comissao regional de solucoes fundiarias do tribunal regional federal,ORG,1,1,Comissão Regional de Soluções Fundiárias do Tribunal Regional Federal
comissao regional do tribunal de justica,ORG,1,1,Comissão Regional do Tribunal de Justiça
comissao trf - 1 mulheres,ORG,1,1,Comissão TRF - 1 Mulheres
comunidade sao salvador,LOC,1,1,Comunidade São Salvador
conceicao do lago acu,LOC,1,1,Conceição do Lago Açu
conceicao evaristo,PER,1,1,Conceição Evaristo
conde,LOC,1,1,Conde
conjunto habitacional dom jaime camara,LOC,1,1,Conjunto Habitacional Dom Jaime Câmara
comite gestor de conciliacao,ORG,1,1,Comitê Gestor de Conciliação
comite internacional da cruz vermelha,ORG,1,1,Comitê Internacional da Cruz Vermelha
comite nacional de inteligencia artificial no judiciario,ORG,1,1,Comitê Nacional de Inteligência Artificial no Judiciário
comite nacional de inteligencia do judiciario,ORG,1,1,Comitê Nacional de Inteligência do Judiciário
comite nacional de precatorios,ORG,1,1,Comitê Nacional de Precatórios
comite regional de saude,ORG,1,1,Comitê Regional de Saúde
companhia das letras,ORG,1,1,Companhia das Letras
companhia de aguas,ORG,1,1,Companhia de Águas
companhia de aguas e esgotos de rondonia,ORG,1,1,Companhia de Águas e Esgotos de Rondônia
companhia estadual de aguas,ORG,1,1,Companhia Estadual de Águas
companhia pernambucana de saneamento,ORG,1,1,Companhia Pernambucana de Saneamento
conselho nacional de j,ORG,1,1,Conselho Nacional de J
conselho nacional de saude,ORG,1,1,Conselho Nacional de Saúde
conselho nacional de secretarias municipais de saude,ORG,1,1,Conselho Nacional de Secretarias Municipais de Saúde
conselho nacional de secretarios de saude,ORG,1,1,Conselho Nacional de Secretários de Saúde
conselho superior da defensoria publica dos estados,ORG,1,1,Conselho Superior da Defensoria Pública dos Estados
complexo dos juizados especiais desembargador jose silverio gomes,LOC,1,1,Complexo dos Juizados Especiais Desembargador José Silvério Gomes
complexo fotovoltaico do tjgo,LOC,1,1,Complexo Fotovoltaico do TJGO
complexo judiciario ministro mario guimaraes,LOC,1,1,Complexo Judiciário Ministro Mário Guimarães
complexo penitenciario francisco de oliveira conde,LOC,1,1,Complexo Penitenciário Francisco de Oliveira Conde
comunidade bom sossego,LOC,1,1,Comunidade Bom Sossego
comunidade de palimi - u,LOC,1,1,Comunidade de Palimi - Ú
comunidade quilombola da fazenda,LOC,1,1,Comunidade Quilombola da Fazenda
comunidade quilombola de conceicao das crioulas,LOC,1,2,Comunidade Quilombola de Conceição das Crioulas
comunidade quilombola do quingoma,LOC,1,1,Comunidade Quilombola do Quingoma
comunidade remanescente de quilombo de cachoeira - porteira,LOC,1,1,Comunidade Remanescente de Quilombo de Cachoeira - Porteira
comunidade republica,LOC,1,1,Comunidade República
copa do mundo,EVE,1,1,Copa do Mundo
copa do mundo de 2027,EVE,1,1,Copa do Mundo de 2027
copa do mundo de futebol,EVE,1,1,Copa do Mundo de Futebol
copa do mundo feminina de futebol de 2027,EVE,1,1,Copa do Mundo Feminina de Futebol de 2027
copa do mundo fifa 2026,EVE,1,1,Copa do Mundo FIFA 2026
copacabana,LOC,1,1,Copacabana
cor purpura,MEDIA,1,1,Cor Púrpura
corregedoria,ORG,1,1,Corregedoria
corrida de reis,EVE,1,1,Corrida de Reis
conselho consultivo do cnj,ORG,1,1,Conselho Consultivo do CNJ
conselho de arquitetura e urbanismo,ORG,1,1,Conselho de Arquitetura e Urbanismo
conselho de arquitetura e urbanismo do brasil,ORG,1,1,Conselho de Arquitetura e Urbanismo do Brasil
conselho federal da oab,ORG,1,1,Conselho Federal da OAB
conselho federal de medicina,ORG,1,1,Conselho Federal de Medicina
conselho municipal dos direitos da crianca e do adolescente,ORG,1,1,Conselho Municipal dos Direitos da Criança e do Adolescente
conselho nacional das defensoras e defensores publicos - gerais,ORG,1,1,Conselho Nacional das Defensoras e Defensores Públicos - Gerais
charles maciel bittencourt,PER,1,1,Charles Maciel Bittencourt
chile,LOC,1,1,Chile
christine oliveira peter da silva,PER,1,1,Christine Oliveira Peter da Silva
christine peter,PER,1,1,Christine Peter
cidadania,LOC,1,1,Cidadania
cidade da guatemala,LOC,1,1,Cidade da Guatemala
cidade do panama,LOC,1,1,Cidade do Panamá
circuito barra - ondina,LOC,1,1,Circuito Barra - Ondina
circular brain,ORG,1,1,Circular Brain
clara da mota,PER,1,1,Clara da Mota
clarissa somesom tauk,PER,1,1,Clarissa Somesom Tauk
conselho superior da magistratura de portugal,ORG,1,1,Conselho Superior da Magistratura de Portugal
consuelo yoshida,PER,1,1,Consuelo Yoshida
cooperativa de catadores de materiais reciclaveis e desenvolvimento sustentavel,ORG,1,1,Cooperativa de Catadores de Materiais Recicláveis e Desenvolvimento Sustentável
cooperativa de trabalho de materiais reutilizaveis e reciclaveis de nova,ORG,1,1,Cooperativa de Trabalho de Materiais Reutilizáveis e Recicláveis de Nova
